week,keyword,search_index
2025-01-05,discount grocery,71
2025-01-12,discount grocery,74
2025-01-19,discount grocery,78
2025-01-26,discount grocery,83
2025-02-02,discount grocery,87
2025-02-09,discount grocery,90
2025-01-05,pickup lockers,52
2025-01-12,pickup lockers,55
2025-01-19,pickup lockers,59
2025-01-26,pickup lockers,63
2025-02-02,pickup lockers,68
2025-02-09,pickup lockers,72
2025-01-05,social commerce,38
2025-01-12,social commerce,41
2025-01-19,social commerce,44
2025-01-26,social commerce,47
2025-02-02,social commerce,51
2025-02-09,social commerce,56
